degradation,degradation_group,traj_idx,method,ADE,smooth,noisy_ADE,noisy_smooth,delta_ADE_vs_noisy,delta_smooth_vs_noisy,improved_ADE_vs_noisy,improved_smooth_vs_noisy
gaussian_medium,relative_observable,79,noisy_input,0.05461578816175461,0.18641580641269684,0.05461578816175461,0.18641580641269684,0.0,0.0,0,0
gaussian_medium,relative_observable,80,noisy_input,0.06143757700920105,0.16220363974571228,0.06143757700920105,0.16220363974571228,0.0,0.0,0,0
gaussian_medium,relative_observable,81,noisy_input,0.06261061131954193,0.22152715921401978,0.06261061131954193,0.22152715921401978,0.0,0.0,0,0
gaussian_medium,relative_observable,82,noisy_input,0.06371063739061356,0.2529352307319641,0.06371063739061356,0.2529352307319641,0.0,0.0,0,0
gaussian_medium,relative_observable,83,noisy_input,0.06458045542240143,0.1238197460770607,0.06458045542240143,0.1238197460770607,0.0,0.0,0,0
gaussian_medium,relative_observable,84,noisy_input,0.06669057905673981,0.3272639513015747,0.06669057905673981,0.3272639513015747,0.0,0.0,0,0
gaussian_medium,relative_observable,85,noisy_input,0.058885347098112106,0.414104700088501,0.058885347098112106,0.414104700088501,0.0,0.0,0,0
gaussian_medium,relative_observable,86,noisy_input,0.05872054770588875,0.20251381397247314,0.05872054770588875,0.20251381397247314,0.0,0.0,0,0
gaussian_medium,relative_observable,87,noisy_input,0.0609772689640522,0.517386257648468,0.0609772689640522,0.517386257648468,0.0,0.0,0,0
gaussian_medium,relative_observable,88,noisy_input,0.06288284063339233,0.17748552560806274,0.06288284063339233,0.17748552560806274,0.0,0.0,0,0
gaussian_medium,relative_observable,89,noisy_input,0.06404105573892593,0.22349926829338074,0.06404105573892593,0.22349926829338074,0.0,0.0,0,0
gaussian_medium,relative_observable,90,noisy_input,0.06123713403940201,0.3742240071296692,0.06123713403940201,0.3742240071296692,0.0,0.0,0,0
gaussian_medium,relative_observable,91,noisy_input,0.07062261551618576,0.18131333589553833,0.07062261551618576,0.18131333589553833,0.0,0.0,0,0
gaussian_medium,relative_observable,92,noisy_input,0.06249571964144707,0.18886736035346985,0.06249571964144707,0.18886736035346985,0.0,0.0,0,0
